"","test","replications","elapsed","relative","user.self","sys.self","type"
"3","linear system",100,0.0639999999993961,1.032,0.0960000000000036,0.0979999999999563,"Multi-Session"
"1","lm",100,0.100000000000364,1.613,0.09699999999998,0.000999999999976353,"Multi-Session"
"2","pseudoinverse",100,0.0619999999998981,1,0.105999999999995,0.134000000000015,"Multi-Session"
"31","linear system",1000,0.341999999999643,1,1.05099999999993,0.979000000000042,"Multi-Session"
"11","lm",1000,1.0649999999996,3.114,0.989000000000033,0.0109999999999673,"Multi-Session"
"21","pseudoinverse",1000,0.376000000000204,1.099,1.22500000000002,1.375,"Multi-Session"
"32","linear system",10000,4.23099999999977,1,10.575,10.355,"Multi-Session"
"12","lm",10000,10.8240000000005,2.558,10.526,0.0360000000000582,"Multi-Session"
"22","pseudoinverse",10000,7.04300000000057,1.665,13.506,16.681,"Multi-Session"
"33","linear system",100000,57.8199999999997,1,106.538,120.8,"Multi-Session"
"13","lm",100000,95.1130000000003,1.645,93.75,0.295999999999935,"Multi-Session"
"23","pseudoinverse",100000,84.3539999999994,1.459,146.541,187.629,"Multi-Session"
"14","linear system",100,0.02,1,0.02,0,"Local"
"24","lm",100,0.08,4,0.08,0,"Local"
"34","pseudoinverse",100,0.02,1,0.02,0,"Local"
"4","linear system",1000,0.12,1,0.12,0,"Local"
"5","lm",1000,0.79,6.583,0.79,0,"Local"
"6","pseudoinverse",1000,0.21,1.75,0.22,0,"Local"
"7","linear system",10000,1.2,1,1.2,0,"Local"
"8","lm",10000,7.59,6.325,7.6,0,"Local"
"9","pseudoinverse",10000,1.39,1.158,1.39,0,"Local"
"10","linear system",100000,12.23,1,12.22,0,"Local"
"111","lm",100000,72.23,5.906,72.05,0.04,"Local"
"121","pseudoinverse",100000,13.93,1.139,13.93,0,"Local"
"35","linear system",100,0.0349999999998545,1,0.0999999999999979,0.0940000000000012,"Remote"
"15","lm",100,0.0919999999996435,2.629,0.0899999999999999,0,"Remote"
"25","pseudoinverse",100,0.0370000000002619,1.057,0.133000000000003,0.152000000000001,"Remote"
"311","linear system",1000,0.341000000000349,1,0.847000000000001,0.844000000000001,"Remote"
"112","lm",1000,0.953999999999724,2.798,0.940000000000001,0.00300000000000011,"Remote"
"211","pseudoinverse",1000,0.38799999999992,1.138,1.351,1.713,"Remote"
"321","linear system",10000,1.69700000000012,1,4.942,5.168,"Remote"
"122","lm",10000,9.67399999999998,5.701,9.488,0.0729999999999968,"Remote"
"221","pseudoinverse",10000,3.82100000000082,2.252,13.604,16.657,"Remote"
"331","linear system",100000,17.8500000000004,1,51.801,53.336,"Remote"
"131","lm",100000,96.924,5.43,95.261,0.564,"Remote"
"231","pseudoinverse",100000,51.384,2.879,160.448,195.601,"Remote"
"141","linear system",100,0.02,1,0.02,0,"Local"
"241","lm",100,0.08,4,0.08,0,"Local"
"341","pseudoinverse",100,0.02,1,0.02,0,"Local"
"41","linear system",1000,0.12,1,0.12,0,"Local"
"51","lm",1000,0.79,6.583,0.79,0,"Local"
"61","pseudoinverse",1000,0.21,1.75,0.22,0,"Local"
"71","linear system",10000,1.2,1,1.2,0,"Local"
"81","lm",10000,7.59,6.325,7.6,0,"Local"
"91","pseudoinverse",10000,1.39,1.158,1.39,0,"Local"
"101","linear system",100000,12.23,1,12.22,0,"Local"
"1111","lm",100000,72.23,5.906,72.05,0.04,"Local"
"1211","pseudoinverse",100000,13.93,1.139,13.93,0,"Local"
